Winning Percentage,Average PER,Gini Coefficient of PER,Robin Hood Coefficient of PER,S.D. of PER,Gini Coefficient of Salary,Robin Hood Coefficient of Salary,S.D. of Salary
0.341463415,10.7826087,0.2777,0.1804,6.88,0.5785,0.4294,4090029.959
0.353658537,15.77368421,0.3109,0.229,10.59,0.6042,0.4571,5300561.898
0.402439024,12.77333333,0.207,0.1552,4.99,0.5005,0.3886,4701792.324
0.390243902,13.63684211,0.1586,0.1151,4.25,0.4908,0.3741,4155451.51
0.707317073,14.61875,0.1688,0.1214,4.65,0.5299,0.4155,4590265.091
0.756097561,13.17368421,0.2309,0.1627,5.70,0.5636,0.4375,3941061.817
0.670731707,14.22352941,0.1697,0.1236,4.42,0.4409,0.3513,3734941.748
0.817073171,15.84117647,0.1698,0.1252,5.21,0.581,0.4714,6126953.933
0.743902439,13.99375,0.2007,0.1435,5.35,0.6258,0.5483,6967773.334
0.414634146,13.03333333,0.1742,0.1348,4.08,0.4838,0.3575,4198460.882
0.585365854,11.57,0.2533,0.1907,5.29,0.3467,0.2564,2481051.679
0.597560976,12.97333333,0.2377,0.1714,6.09,0.3186,0.2288,3022931.98
0.682926829,13.63125,0.1976,0.1351,6.95,0.4737,0.3677,4157858.558
0.62195122,14.19411765,0.1664,0.1146,4.57,0.6117,0.4851,7158463.903
0.524390244,13.59285714,0.2134,0.1596,6.59,0.4451,0.3409,3999151.702
0.304878049,10.78235294,0.2837,0.2268,5.60,0.5363,0.4134,3290457.304
0.463414634,10.42272727,0.2721,0.1902,13.03,0.6738,0.5347,4187510.903
0.487804878,12.43529412,0.2317,0.1677,5.35,0.5771,0.4424,4250157.013
0.62195122,14.48666667,0.1833,0.1481,4.94,0.553,0.4518,4835126.859
0.353658537,10.95263158,0.2458,0.1803,4.97,0.5731,0.4568,3450287.63
0.536585366,12.48235294,0.1983,0.1506,4.45,0.3962,0.3062,2651237.531
0.56097561,11.26111111,0.2441,0.1742,5.73,0.4903,0.3518,3985352.622
0.5,12.87894737,0.1871,0.1414,4.32,0.5051,0.365,4244290.751
0.597560976,12.05,0.2325,0.1653,5.21,0.5766,0.4515,6641050.627
